"Sequence Duplication Level","L13_pBIC10_1733","L14_pBIC10_1734","L15_pBIC10_1740","P10_pBIC_1766","P11_pBIC_1521","P9_pBIC_1761","Y2_YC_1669","Y3_YC_1671","Y4_YC_1067","Y6_YC_1070"
1,27.515155826475997,42.29961302916917,32.41679531438969,27.899860596574687,29.279797774152982,34.27322529953063,16.374171596698222,23.709806636687137,24.927516822359816,26.941181085661736
2,13.211520293220527,9.741971677148435,11.86668367504106,10.19826944457029,11.392755790103012,11.295586763907037,11.617867503209055,11.69355501689518,12.96691159138767,12.580185940221522
3,7.06166967846477,5.174452670908627,6.240856604458673,5.770421975828459,6.019492022931445,6.171544719702834,8.774774358517371,6.23962454271266,6.785732351812763,6.249348208358179
4,4.607246816364451,3.449514584681643,4.217644782939493,3.845663676070013,4.154740029790087,3.983636036492016,5.636046879271887,3.4839240791645616,4.164120148820272,3.6514560718562223
5,3.212873453481831,2.4985781593462377,3.061054054350842,2.9006302210845205,3.070922250303235,2.9257202613871733,3.604452368988278,2.3066599928774507,2.891233989054327,2.3639805698283882
6,2.4081919819314175,1.9080230967249132,2.349601554121888,2.2252497746522297,2.3018689276001894,2.309389723506874,2.5422627098898065,1.6540948408252936,2.0469470752046393,1.7576356956694505
7,1.8976453637083996,1.5090560972436218,1.9090657732891374,1.9145356559569597,1.8117918093101089,1.8084942112560751,1.737768548380239,1.3027587443023112,1.6134289163221256,1.4018653087248676
8,1.6243427207210135,1.2439269573162417,1.5193020353911761,1.5449234255416409,1.6390089912238817,1.4679683214966566,1.3609757564353573,1.0214129520512152,1.2921330080438866,1.120813195007383
9,1.3524511913212083,1.0145873149979963,1.3076124014448718,1.3471189695676027,1.351623081606695,1.265899640667573,1.1803300572354893,0.8888278832669938,1.1134622609674365,0.9158525101721194
">10",15.710024237428405,12.668578028933794,15.585313811857374,17.161753985325486,16.064372015549456,14.526297422308062,12.056611687581196,10.139361214591126,12.215823077935301,10.703024160501046
">50",5.3668810958187345,4.356361655104298,5.237385293483508,6.413203368195141,6.024861816642881,5.152273718406599,3.998812238482051,3.7732563826212324,4.0787584866224815,3.983572111309696
">100",9.72255334534907,8.255242492045516,9.126180090875096,12.420623178027817,11.139457634142126,9.262480616321781,9.927820092363573,10.000530451906268,9.63562741069988,9.607989498096877
">500",2.6458457502004356,2.5261486707984644,2.4325826624569147,3.1908690930868735,2.878582040072385,2.5160447703627065,5.01276377210226,5.4295192566311306,4.713221179121676,4.814931002697603
">1k",3.1218424337986908,3.0024945791443303,2.4389196151097257,2.88443863291964,2.655852944763733,2.720380593130356,11.642485317161425,12.930287433686088,9.005826891903252,10.353272896232953
">5k",0.3483363537472776,0.19058372061259465,0.20314107763413544,0.23796659479295804,0.21487287180802112,0.23148001336192925,2.7704204772095338,3.1974656082743675,1.750317163677757,2.166144016958007
">10k+",0.19341945796771215,0.16086726582429003,0.08786125315644752,0.04447140780564958,0,0.08957788816201395,1.762436636474209,2.228914963506824,0.7989396260668592,1.388747728703919
